Entity,Year,Life expectancy - Type: period - Sex: both - Age: 0
Lebanon,1987,614.275
Lesotho,1987,594.945
Less developed regions,1987,606.798
"Less developed regions, excluding China",1987,584.791
"Less developed regions, excluding least developed countries",1987,627.887
Liberia,1987,44.528
Libya,1987,681.959
Liechtenstein,1987,702.375
Lithuania,1987,715.713
Low-income countries,1987,472.288
Lower-middle-income countries,1987,581.304
Luxembourg,1987,742.158
Macao,1987,762.722
Madagascar,1987,502.088
Malawi,1987,438.112
Malaysia,1987,706.665
Maldives,1987,613.097
Mali,1987,446.928
Malta,1987,746.093
Marshall Islands,1987,621.374
Martinique,1987,739.497
Mauritania,1987,585.807
Mauritius,1987,679.931
Mayotte,1987,713.118
Mexico,1987,688.435
Micronesia (country),1987,662.921
Middle-income countries,1987,621.559
Moldova,1987,681.206
Monaco,1987,748.501
Mongolia,1987,573.876
Montenegro,1987,752.651
Montserrat,1987,713.677
More developed regions,1987,738.639
Morocco,1987,607.106
Mozambique,1987,408.426
Myanmar,1987,56.076
Namibia,1987,602.072
Nauru,1987,61.386
Nepal,1987,524.755
Netherlands,1987,768.088
New Caledonia,1987,688.602
New Zealand,1987,742.047
Nicaragua,1987,576.598
Niger,1987,404.331
Nigeria,1987,460.176
Niue,1987,68.913
No income group available,1987,707.905
North Korea,1987,694.423
North Macedonia,1987,703.848
Northern America (UN),1987,750.368
Northern Mariana Islands,1987,711.173
Norway,1987,761.021
Oceania (UN),1987,722.009
Oman,1987,678.868
Pakistan,1987,590.663
Palau,1987,613.412
Palestine,1987,664.238
Panama,1987,708.885
Papua New Guinea,1987,59.213
Paraguay,1987,670.124
Peru,1987,628.041
Philippines,1987,643.351
Poland,1987,706.747
Portugal,1987,74.063
Puerto Rico,1987,738.393
Qatar,1987,730.188
Reunion,1987,721.326
Romania,1987,688.333
Russia,1987,690.344
Rwanda,1987,514.771
Saint Barthelemy,1987,733.727
Saint Helena,1987,709.748
Saint Kitts and Nevis,1987,654.763
Saint Lucia,1987,700.046
Saint Martin (French part),1987,735.814
Saint Pierre and Miquelon,1987,725.052
Saint Vincent and the Grenadines,1987,72.046
Samoa,1987,668.832
San Marino,1987,781.261
Sao Tome and Principe,1987,610.169
Saudi Arabia,1987,674.001
Senegal,1987,548.191
Serbia,1987,691.738
Seychelles,1987,688.348
Sierra Leone,1987,440.465
Singapore,1987,747.213
Sint Maarten (Dutch part),1987,722.013
Slovakia,1987,710.687
Slovenia,1987,718.744
Small Island Developing States (SIDS),1987,645.565
Solomon Islands,1987,647.641
Somalia,1987,489.027
South Africa,1987,630.412
South Korea,1987,694.735
South Sudan,1987,219.118
Spain,1987,769.573
Sri Lanka,1987,714.572
Sudan,1987,434.405
Suriname,1987,631.863
Sweden,1987,771.077
Switzerland,1987,773.316
Syria,1987,692.951
Taiwan,1987,737.457
Tajikistan,1987,612.537
Tanzania,1987,517.257
Thailand,1987,694.478
Togo,1987,540.511
Tokelau,1987,682.873
Tonga,1987,668.836
Trinidad and Tobago,1987,682.805
Tunisia,1987,68.899
Turkey,1987,662.775
Turkmenistan,1987,633.525
Turks and Caicos Islands,1987,701.682
Tuvalu,1987,614.441
Uganda,1987,466.189
Ukraine,1987,701.464
United Arab Emirates,1987,714.914
United Kingdom,1987,751.476
United States,1987,748.538
United States Virgin Islands,1987,703.518
Upper-middle-income countries,1987,672.097
Uruguay,1987,726.134
Uzbekistan,1987,64.984
Vanuatu,1987,645.776
Venezuela,1987,710.475
Vietnam,1987,683.919
Wallis and Futuna,1987,657.918
Western Sahara,1987,505.768
World,1987,631.585
Yemen,1987,570.962
Zambia,1987,503.276
Zimbabwe,1987,617.673
Afghanistan,1988,439.579
Africa (UN),1988,504.287
Albania,1988,726.408
Algeria,1988,669.713
American Samoa,1988,703.871
Andorra,1988,77.81
Angola,1988,41.545
Anguilla,1988,708.806
Antigua and Barbuda,1988,735.296
Argentina,1988,710.523
Armenia,1988,538.997
Aruba,1988,730.472
Asia (UN),1988,632.672
Australia,1988,76.347
Austria,1988,753.758
Azerbaijan,1988,627.293
Bahamas,1988,692.154
Bahrain,1988,724.437
Bangladesh,1988,55.027
Barbados,1988,726.523
Belarus,1988,704.644
Belgium,1988,755.877
Belize,1988,707.813
Benin,1988,522.943
Bermuda,1988,749.096
Bhutan,1988,545.127
Bolivia,1988,551.558
Bonaire Sint Eustatius and Saba,1988,741.807
Bosnia and Herzegovina,1988,717.546
Botswana,1988,617.549
Brazil,1988,65.454
British Virgin Islands,1988,737.298
Brunei,1988,712.363
Bulgaria,1988,714.503
Burkina Faso,1988,491.322
Burundi,1988,430.397
Cambodia,1988,542.759
Cameroon,1988,549.336
Canada,1988,768.595
Cape Verde,1988,640.585
Cayman Islands,1988,718.076
Central African Republic,1988,502.411
Chad,1988,457.852
Chile,1988,724.556
China,1988,675.808
Colombia,1988,683.908
Comoros,1988,549.497
Congo,1988,570.086
Cook Islands,1988,674.195
Costa Rica,1988,761.055
Cote d'Ivoire,1988,530.165
Croatia,1988,718.699
Cuba,1988,73.913
Curacao,1988,721.685
Cyprus,1988,731.294
Czechia,1988,717.141
Democratic Republic of Congo,1988,477.677
Denmark,1988,74.838
Djibouti,1988,55.161
Dominica,1988,713.635
Dominican Republic,1988,65.951
East Timor,1988,35.753
Ecuador,1988,680.559
Egypt,1988,62.98
El Salvador,1988,614.764
Equatorial Guinea,1988,505.042
Eritrea,1988,480.148
Estonia,1988,703.605
Eswatini,1988,626.732
Ethiopia,1988,450.611
Europe (UN),1988,728.128
Falkland Islands,1988,514.009
Faroe Islands,1988,745.431
Fiji,1988,651.492
Finland,1988,747.645
France,1988,763.942
French Guiana,1988,697.797
French Polynesia,1988,734.681
Gabon,1988,600.056
Gambia,1988,50.051
Georgia,1988,685.285
Germany,1988,752.991
Ghana,1988,545.072
Gibraltar,1988,773.597
Greece,1988,770.064
Greenland,1988,644.156
Grenada,1988,701.647
Guadeloupe,1988,734.599
Guam,1988,718.845
Guatemala,1988,620.289
Guernsey,1988,773.308
Guinea,1988,465.894
Guinea-Bissau,1988,463.205
Guyana,1988,620.846
Haiti,1988,526.319
High-income countries,1988,748.671
Honduras,1988,64.345
Hong Kong,1988,770.751
Hungary,1988,699.417
Iceland,1988,769.263
India,1988,577.772
Indonesia,1988,622.106
Iran,1988,634.463
Iraq,1988,574.664
Ireland,1988,744.285
Isle of Man,1988,712.385
Israel,1988,760.634
Italy,1988,765.228
Jamaica,1988,715.415
Japan,1988,785.368
Jersey,1988,76.847
Jordan,1988,692.522
Kazakhstan,1988,651.875
Kenya,1988,595.388
Kiribati,1988,59.904
Kosovo,1988,702.797
Kuwait,1988,745.198
Kyrgyzstan,1988,640.891
Land-locked Developing Countries (LLDC),1988,499.685
Laos,1988,527.314
Latin America and the Caribbean (UN),1988,670.052
Latvia,1988,702.176
Least developed countries,1988,484.161
Lebanon,1988,617.183
Lesotho,1988,59.62
Less developed regions,1988,608.465
"Less developed regions, excluding China",1988,586.052
"Less developed regions, excluding least developed countries",1988,631.137
Liberia,1988,439.927
Libya,1988,686.223
Liechtenstein,1988,743.239
Lithuania,1988,714.654
Low-income countries,1988,463.073
Lower-middle-income countries,1988,584.781
Luxembourg,1988,749.096
Macao,1988,766.035
Madagascar,1988,505.945
Malawi,1988,433.835
Malaysia,1988,708.957
Maldives,1988,621.322
Mali,1988,453.928
Malta,1988,748.164
Marshall Islands,1988,621.609
Martinique,1988,742.151
Mauritania,1988,591.405
Mauritius,1988,682.219
Mayotte,1988,715.406
Mexico,1988,692.532
Micronesia (country),1988,668.593
Middle-income countries,1988,624.365
Moldova,1988,681.592
Monaco,1988,750.569
Mongolia,1988,578.696
Montenegro,1988,763.479
Montserrat,1988,716.739
More developed regions,1988,73.942
Morocco,1988,613.203
Mozambique,1988,438.441
Myanmar,1988,560.847
Namibia,1988,602.476
Nauru,1988,613.799
Nepal,1988,530.712
Netherlands,1988,769.953
New Caledonia,1988,689.674
New Zealand,1988,744.753
Nicaragua,1988,603.003
Niger,1988,407.898
Nigeria,1988,46.072
Niue,1988,686.847
No income group available,1988,710.375
North Korea,1988,698.027
North Macedonia,1988,70.824
Northern America (UN),1988,750.212
Northern Mariana Islands,1988,71.393
Norway,1988,762.709
Oceania (UN),1988,72.466
Oman,1988,685.801
Pakistan,1988,593.557
Palau,1988,613.327
Palestine,1988,668.382
Panama,1988,708.882
Papua New Guinea,1988,593.364
Paraguay,1988,673.194
Peru,1988,636.014
Philippines,1988,64.898
Poland,1988,710.195
Portugal,1988,740.853
Puerto Rico,1988,738.516
Qatar,1988,731.644
Reunion,1988,72.442
Romania,1988,690.323
Russia,1988,688.956
Rwanda,1988,509.756
Saint Barthelemy,1988,739.908
Saint Helena,1988,710.518
Saint Kitts and Nevis,1988,65.45
Saint Lucia,1988,700.527
Saint Martin (French part),1988,742.263
Saint Pierre and Miquelon,1988,72.685
Saint Vincent and the Grenadines,1988,723.496
Samoa,1988,671.883
San Marino,1988,78.317
Sao Tome and Principe,1988,613.341
Saudi Arabia,1988,679.721
Senegal,1988,557.736
Serbia,1988,696.003
Seychelles,1988,69.464
Sierra Leone,1988,440.475
Singapore,1988,746.348
Sint Maarten (Dutch part),1988,728.712
Slovakia,1988,711.273
Slovenia,1988,726.446
Small Island Developing States (SIDS),1988,648.516
Solomon Islands,1988,649.731
Somalia,1988,438.348
South Africa,1988,633.454
South Korea,1988,703.013
South Sudan,1988,12.4073
Spain,1988,769.501
Sri Lanka,1988,715.485
Sudan,1988,359.228
Suriname,1988,634.374
Sweden,1988,769.968
Switzerland,1988,773.644
Syria,1988,696.743
Taiwan,1988,734.764
Tajikistan,1988,61.792
Tanzania,1988,518.434
Thailand,1988,696.885
Togo,1988,543.478
Tokelau,1988,685.903
Tonga,1988,670.259
Trinidad and Tobago,1988,684.195
Tunisia,1988,695.687
Turkey,1988,667.943
Turkmenistan,1988,636.817
Turks and Caicos Islands,1988,704.108
Tuvalu,1988,614.305
Uganda,1988,467.008
Ukraine,1988,700.639
United Arab Emirates,1988,716.062
United Kingdom,1988,752.612
United States,1988,74.828
United States Virgin Islands,1988,707.718
Upper-middle-income countries,1988,674.055
Uruguay,1988,72.82
Uzbekistan,1988,651.465
Vanuatu,1988,660.395
Venezuela,1988,712.525
Vietnam,1988,684.688
Wallis and Futuna,1988,684.445
Western Sahara,1988,533.252
World,1988,632.806
Yemen,1988,577.589
Zambia,1988,49.527
Zimbabwe,1988,613.231
Afghanistan,1989,451.582
Africa (UN),1989,516.789
Albania,1989,728.797
Algeria,1989,670.855
American Samoa,1989,700.845
Andorra,1989,777.791
Angola,1989,417.646
Anguilla,1989,712.367
Antigua and Barbuda,1989,734.162
Argentina,1989,714.247
Armenia,1989,687.034
Aruba,1989,730.227
Asia (UN),1989,637.009
Australia,1989,762.005
Austria,1989,754.648
Azerbaijan,1989,625.822
Bahamas,1989,695.977
Bahrain,1989,726.186
Bangladesh,1989,550.885
Barbados,1989,727.404
Belarus,1989,699.932
Belgium,1989,756.434
Belize,1989,707.244
Benin,1989,526.838
Bermuda,1989,742.687
Bhutan,1989,552.613
Bolivia,1989,557.719
Bonaire Sint Eustatius and Saba,1989,737.383
Bosnia and Herzegovina,1989,717.808
Botswana,1989,61.427
Brazil,1989,658.676
British Virgin Islands,1989,740.317
Brunei,1989,714.451
Bulgaria,1989,715.158
Burkina Faso,1989,491.738
Burundi,1989,45.62
Cambodia,1989,547.976
Cameroon,1989,549.469
Canada,1989,771.216
Cape Verde,1989,644.462
Cayman Islands,1989,718.725
Central African Republic,1989,499.862
Chad,1989,45.875
Chile,1989,724.669
China,1989,678.378
Colombia,1989,685.326
Comoros,1989,55.224
Congo,1989,56.513
Cook Islands,1989,673.863
Costa Rica,1989,762.626
Cote d'Ivoire,1989,528.762
Croatia,1989,71.989
Cuba,1989,739.815
Curacao,1989,720.755
Cyprus,1989,734.797
Czechia,1989,717.544
Democratic Republic of Congo,1989,48.17
Denmark,1989,748.579
Djibouti,1989,552.729
Dominica,1989,695.528
Dominican Republic,1989,665.463
East Timor,1989,445.502
Ecuador,1989,687.492
Egypt,1989,636.281
El Salvador,1989,596.855
Equatorial Guinea,1989,506.676
Eritrea,1989,478.275
Estonia,1989,704.167
Eswatini,1989,62.927
Ethiopia,1989,450.365
Europe (UN),1989,729.362
Falkland Islands,1989,520.346
Faroe Islands,1989,760.799
Fiji,1989,652.767
Finland,1989,749.686
France,1989,765.408
French Guiana,1989,702.929
French Polynesia,1989,737.871
Gabon,1989,602.647
Gambia,1989,506.352
Georgia,1989,683.529
Germany,1989,754.848
Ghana,1989,551.909
Gibraltar,1989,745.543
Greece,1989,771.245
Greenland,1989,646.844
Grenada,1989,704.192
Guadeloupe,1989,73.758
Guam,1989,721.644
Guatemala,1989,623.742
Guernsey,1989,778.398
Guinea,1989,468.472
Guinea-Bissau,1989,466.998
Guyana,1989,622.377
Haiti,1989,527.545
High-income countries,1989,750.863
Honduras,1989,648.557
Hong Kong,1989,772.362
Hungary,1989,69.394
Iceland,1989,779.139
India,1989,582.333
Indonesia,1989,626.959
Iran,1989,657.175
Iraq,1989,582.346
Ireland,1989,744.543
Isle of Man,1989,709.245
Israel,1989,766.526
Italy,1989,76.922
Jamaica,1989,721.566
Japan,1989,789.708
Jersey,1989,767.748
Jordan,1989,695.695
Kazakhstan,1989,650.636
Kenya,1989,590.397
Kiribati,1989,604.077
Kosovo,1989,706.018
Kuwait,1989,748.255
Kyrgyzstan,1989,644.315
Land-locked Developing Countries (LLDC),1989,51.38
Laos,1989,532.521
Latin America and the Caribbean (UN),1989,673.603
Latvia,1989,701.801
Least developed countries,1989,499.467
Lebanon,1989,641.627
Lesotho,1989,595.309
Less developed regions,1989,614.357
"Less developed regions, excluding China",1989,592.737
"Less developed regions, excluding least developed countries",1989,634.971
Liberia,1989,43.451
Libya,1989,689.903
Liechtenstein,1989,745.483
Lithuania,1989,71.43
Low-income countries,1989,486.196
Lower-middle-income countries,1989,588.682
Luxembourg,1989,747.136
Macao,1989,770.353
Madagascar,1989,511.069
Malawi,1989,433.395
Malaysia,1989,711.171
Maldives,1989,62.847
Mali,1989,458.765
Malta,1989,754.157
Marshall Islands,1989,621.902
Martinique,1989,745.054
Mauritania,1989,593.215
Mauritius,1989,68.811
Mayotte,1989,717.466
Mexico,1989,696.226
Micronesia (country),1989,670.961
Middle-income countries,1989,627.899
Moldova,1989,686.728
Monaco,1989,753.855
Mongolia,1989,583.438
Montenegro,1989,756.291
Montserrat,1989,68.715
More developed regions,1989,741.252
Morocco,1989,61.899
Mozambique,1989,441.434
Myanmar,1989,565.646
Namibia,1989,626.416
Nauru,1989,613.999
Nepal,1989,541.273
Netherlands,1989,768.312
New Caledonia,1989,69.045
New Zealand,1989,748.863
Nicaragua,1989,624.748
Niger,1989,412.206
Nigeria,1989,461.816
Niue,1989,683.106
No income group available,1989,71.127
North Korea,1989,700.388
North Macedonia,1989,711.301
Northern America (UN),1989,752.974
Northern Mariana Islands,1989,715.821
Norway,1989,765.435
Oceania (UN),1989,724.899
Oman,1989,691.555
Pakistan,1989,596.198
Palau,1989,614.026
Palestine,1989,672.767
Panama,1989,699.358
Papua New Guinea,1989,59.58
Paraguay,1989,674.693
Peru,1989,643.524
Philippines,1989,654.638
Poland,1989,707.646
Portugal,1989,746.646
Puerto Rico,1989,738.531
Qatar,1989,735.937
Reunion,1989,726.919
Romania,1989,692.801
Russia,1989,689.534
Rwanda,1989,502.197
Saint Barthelemy,1989,739.936
Saint Helena,1989,711.381
Saint Kitts and Nevis,1989,649.918
Saint Lucia,1989,70.215
Saint Martin (French part),1989,742.331
Saint Pierre and Miquelon,1989,727.787
Saint Vincent and the Grenadines,1989,727.316
Samoa,1989,674.711
San Marino,1989,78.553
Sao Tome and Principe,1989,601.584
Saudi Arabia,1989,684.913
Senegal,1989,564.384
Serbia,1989,698.557
Seychelles,1989,693.137
Sierra Leone,1989,44.021
Singapore,1989,748.307
Sint Maarten (Dutch part),1989,724.813
Slovakia,1989,709.384
Slovenia,1989,731.884
Small Island Developing States (SIDS),1989,653.362
Solomon Islands,1989,651.863
Somalia,1989,467.173
South Africa,1989,633.098
South Korea,1989,70.822
South Sudan,1989,296.798
Spain,1989,769.991
Sri Lanka,1989,697.611
Sudan,1989,493.367
Suriname,1989,640.101
Sweden,1989,776.532
Switzerland,1989,775.571
Syria,1989,697.604
Taiwan,1989,737.102
Tajikistan,1989,619.535
Tanzania,1989,517.394
Thailand,1989,701.219
Togo,1989,543.899
Tokelau,1989,688.839
Tonga,1989,671.618
Trinidad and Tobago,1989,68.438
Tunisia,1989,696.708
Turkey,1989,672.445
Turkmenistan,1989,637.866
Turks and Caicos Islands,1989,699.413
Tuvalu,1989,615.307
Uganda,1989,46.472
Ukraine,1989,702.527
United Arab Emirates,1989,71.757
United Kingdom,1989,753.953
United States,1989,751.038
United States Virgin Islands,1989,709.987
Upper-middle-income countries,1989,676.853
Uruguay,1989,73.002
Uzbekistan,1989,65.281
Vanuatu,1989,661.337
Venezuela,1989,71.348
Vietnam,1989,69.076
Wallis and Futuna,1989,690.866
Western Sahara,1989,530.049
World,1989,637.919
Yemen,1989,582.178
Zambia,1989,486.957
Zimbabwe,1989,604.007
Afghanistan,1990,459.672
Africa (UN),1990,516.467
Albania,1990,731.439
Algeria,1990,67.416
American Samoa,1990,699.091
Andorra,1990,784.063
Angola,1990,418.933
Anguilla,1990,717.787
Antigua and Barbuda,1990,734.922
Argentina,1990,717.837
Armenia,1990,688.209
Aruba,1990,73.076
Asia (UN),1990,640.389
Australia,1990,770.443
Austria,1990,757.396
Azerbaijan,1990,623.522
Bahamas,1990,701.331
Bahrain,1990,726.677
Bangladesh,1990,559.886
Barbados,1990,727.516
Belarus,1990,699.347
Belgium,1990,760.554
Belize,1990,707.437
Benin,1990,532.918
Bermuda,1990,744.999
Bhutan,1990,559.679
Bolivia,1990,564.221
Bonaire Sint Eustatius and Saba,1990,735.044
Bosnia and Herzegovina,1990,723.487
Botswana,1990,605.327
Brazil,1990,659.848
British Virgin Islands,1990,739.266
Brunei,1990,716.563
Bulgaria,1990,713.571
Burkina Faso,1990,494.401
Burundi,1990,448.599
Cambodia,1990,554.341
Cameroon,1990,548.679
Canada,1990,774.308
Cape Verde,1990,650.227
Cayman Islands,1990,719.534
Central African Republic,1990,496.347
Chad,1990,446.856
Chile,1990,72.574
China,1990,680.052
Colombia,1990,68.644
Comoros,1990,558.404
Congo,1990,559.261
Cook Islands,1990,663.009
Costa Rica,1990,766.301
Cote d'Ivoire,1990,526.026
Croatia,1990,722.502
Cuba,1990,740.389
Curacao,1990,723.802
Cyprus,1990,735.387
Czechia,1990,714.087
Democratic Republic of Congo,1990,486.006
Denmark,1990,748.636
Djibouti,1990,554.983
Dominica,1990,69.852
Dominican Republic,1990,671.102
East Timor,1990,449.535
Ecuador,1990,693.477
Egypt,1990,641.459
El Salvador,1990,625.504
Equatorial Guinea,1990,508.598
Eritrea,1990,497.688
Estonia,1990,698.312
Eswatini,1990,630.719
Ethiopia,1990,445.567
Europe (UN),1990,728.843
Falkland Islands,1990,529.554
Faroe Islands,1990,756.728
Fiji,1990,655.076
Finland,1990,749.893
France,1990,768.335
French Guiana,1990,70.556
French Polynesia,1990,739.826
Gabon,1990,603.109
Gambia,1990,513.185
Georgia,1990,68.389
Germany,1990,753.588
Ghana,1990,556.196
Gibraltar,1990,770.722
Greece,1990,772.959
Greenland,1990,637.226
Grenada,1990,706.834
Guadeloupe,1990,74.154
Guam,1990,724.728
Guatemala,1990,624.728
Guernsey,1990,778.105
Guinea,1990,470.044
Guinea-Bissau,1990,47.084
Guyana,1990,624.149
Haiti,1990,529.753
High-income countries,1990,752.892
Honduras,1990,652.428
Hong Kong,1990,774.724
Hungary,1990,693.715
Iceland,1990,781.628
India,1990,586.516
Indonesia,1990,631.807
Iran,1990,643.665
Iraq,1990,584.355
Ireland,1990,748.418
Isle of Man,1990,719.589
Israel,1990,771.942
Italy,1990,769.909
Jamaica,1990,723.041
Japan,1990,789.838
Jersey,1990,767.487
Jordan,1990,698.538
Kazakhstan,1990,648.758
Kenya,1990,586.145
Kiribati,1990,609.174
Kosovo,1990,709.171
Kuwait,1990,732.805
Kyrgyzstan,1990,642.722
Land-locked Developing Countries (LLDC),1990,51.246
Laos,1990,537.128
Latin America and the Caribbean (UN),1990,676.589
Latvia,1990,691.956
Least developed countries,1990,501.401
Lebanon,1990,644.747
Lesotho,1990,593.983
Less developed regions,1990,616.961
"Less developed regions, excluding China",1990,595.398
"Less developed regions, excluding least developed countries",1990,637.731
Liberia,1990,366.883
Libya,1990,694.231
Liechtenstein,1990,758.628
Lithuania,1990,710.085
Low-income countries,1990,486.336
Lower-middle-income countries,1990,591.626
Luxembourg,1990,756.045
Macao,1990,774.235
Madagascar,1990,517.009
Malawi,1990,433.227
Malaysia,1990,713.071
Maldives,1990,635.777
Mali,1990,466.204
Malta,1990,759.846
Marshall Islands,1990,621.758
Martinique,1990,750.853
Mauritania,1990,597.696
Mauritius,1990,693.874
Mayotte,1990,722.023
Mexico,1990,699.707
Micronesia (country),1990,67.425
Middle-income countries,1990,630.178
Moldova,1990,680.673
Monaco,1990,758.078
Mongolia,1990,587.649
Montenegro,1990,755.211
Montserrat,1990,719.446
More developed regions,1990,741.723
Morocco,1990,624.478
Mozambique,1990,44.469
Myanmar,1990,566.607
Namibia,1990,624.964
Nauru,1990,613.557
Nepal,1990,548.333
Netherlands,1990,770.067
New Caledonia,1990,69.453
New Zealand,1990,754.242
Nicaragua,1990,630.963
Niger,1990,418.517
Nigeria,1990,460.374
Niue,1990,679.484
No income group available,1990,713.736
North Korea,1990,70.21
North Macedonia,1990,711.968
Northern America (UN),1990,755.689
Northern Mariana Islands,1990,717.909
Norway,1990,765.865
Oceania (UN),1990,731.943
Oman,1990,69.782
Pakistan,1990,600.656
Palau,1990,615.816
Palestine,1990,679.337
Panama,1990,710.972
Papua New Guinea,1990,597.212
Paraguay,1990,679.441
Peru,1990,651.059
Philippines,1990,659.093
Poland,1990,70.678
Portugal,1990,74.304
Puerto Rico,1990,738.902
Qatar,1990,739.817
Reunion,1990,73.01
Romania,1990,69.729
Russia,1990,685.354
Rwanda,1990,484.312
Saint Barthelemy,1990,742.119
Saint Helena,1990,713.751
Saint Kitts and Nevis,1990,651.875
Saint Lucia,1990,703.261
Saint Martin (French part),1990,744.626
Saint Pierre and Miquelon,1990,735.002
Saint Vincent and the Grenadines,1990,723.797
Samoa,1990,676.584
San Marino,1990,786.696
Sao Tome and Principe,1990,61.471
Saudi Arabia,1990,689.485
Senegal,1990,569.484
Serbia,1990,703.146
Seychelles,1990,690.142
Sierra Leone,1990,440.568
Singapore,1990,749.444
Sint Maarten (Dutch part),1990,723.242
Slovakia,1990,708.202
Slovenia,1990,735.151
Small Island Developing States (SIDS),1990,655.723
Solomon Islands,1990,653.917
Somalia,1990,471.055
South Africa,1990,633.753
South Korea,1990,719.401
South Sudan,1990,299.353
Spain,1990,770.017
Sri Lanka,1990,719.268
Sudan,1990,497.321
Suriname,1990,642.298
Sweden,1990,775.883
Switzerland,1990,773.849
Syria,1990,698.172
Taiwan,1990,739.723
Tajikistan,1990,61.879
Tanzania,1990,514.849
Thailand,1990,704.449
Togo,1990,543.697
Tokelau,1990,691.849
Tonga,1990,672.943
Trinidad and Tobago,1990,68.272
Tunisia,1990,701.103
Turkey,1990,677.092
Turkmenistan,1990,63.939
Turks and Caicos Islands,1990,69.001
Tuvalu,1990,616.615
Uganda,1990,464.426
Ukraine,1990,698.024
United Arab Emirates,1990,719.004
United Kingdom,1990,757.359
United States,1990,753.699
United States Virgin Islands,1990,71.236
Upper-middle-income countries,1990,678.048
Uruguay,1990,731.617
Uzbekistan,1990,653.456
Vanuatu,1990,666.747
Venezuela,1990,715.319
Vietnam,1990,692.127
Wallis and Futuna,1990,710.255
Western Sahara,1990,577.882
World,1990,639.879
Yemen,1990,586.994
Zambia,1990,479.263
Zimbabwe,1990,594.264
Afghanistan,1991,466.631
Africa (UN),1991,51.485
Albania,1991,733.776
Algeria,1991,676.875
American Samoa,1991,705.563
Andorra,1991,779.805
Angola,1991,438.127
Anguilla,1991,725.549
Antigua and Barbuda,1991,734.354
Argentina,1991,72.319
Armenia,1991,686.431
Aruba,1991,730.998
Asia (UN),1991,642.294
Australia,1991,774.831
Austria,1991,757.931
Azerbaijan,1991,620.524
Bahamas,1991,696.157
Bahrain,1991,727.642
Bangladesh,1991,541.544
Barbados,1991,72.843
Belarus,1991,697.159
Belgium,1991,761.962
Belize,1991,702.484
Benin,1991,536.238
Bermuda,1991,748.859
Bhutan,1991,56.642
Bolivia,1991,570.973
Bonaire Sint Eustatius and Saba,1991,730.146
Bosnia and Herzegovina,1991,720.887
Botswana,1991,594.734
Brazil,1991,663.096
British Virgin Islands,1991,728.722
Brunei,1991,718.711
Bulgaria,1991,712.267
Burkina Faso,1991,494.502
Burundi,1991,442.265
Cambodia,1991,557.927
Cameroon,1991,546.577
Canada,1991,775.917
Cape Verde,1991,651.762
Cayman Islands,1991,719.951
Central African Republic,1991,492.516
Chad,1991,459.412
Chile,1991,735.741
China,1991,681.688
Colombia,1991,688.127
Comoros,1991,561.941
Congo,1991,552.431
Cook Islands,1991,673.233
Costa Rica,1991,765.905
Cote d'Ivoire,1991,52.323
Croatia,1991,704.879
Cuba,1991,74.093
Curacao,1991,724.828
Cyprus,1991,737.158
Czechia,1991,719.702
Democratic Republic of Congo,1991,489.478
Denmark,1991,752.256
Djibouti,1991,551.564
Dominica,1991,696.458
Dominican Republic,1991,676.254
East Timor,1991,449.849
Ecuador,1991,696.253
Egypt,1991,647.553
El Salvador,1991,638.556
Equatorial Guinea,1991,509.695
Eritrea,1991,506.074
Estonia,1991,69.712
Eswatini,1991,626.853
Ethiopia,1991,461.304
Europe (UN),1991,72.869
Falkland Islands,1991,542.191
Faroe Islands,1991,740.779
Fiji,1991,656.434
Finland,1991,754.071
France,1991,770.143
French Guiana,1991,710.529
French Polynesia,1991,74.149
Gabon,1991,603.968
Gambia,1991,521.265
Georgia,1991,682.447
Germany,1991,755.759
Ghana,1991,560.118
Gibraltar,1991,769.943
Greece,1991,773.694
Greenland,1991,64.387
Grenada,1991,709.738
Guadeloupe,1991,744.604
Guam,1991,724.973
Guatemala,1991,627.252
Guernsey,1991,763.237
Guinea,1991,475.456
Guinea-Bissau,1991,474.654
Guyana,1991,626.219
Haiti,1991,533.907
High-income countries,1991,754.748
Honduras,1991,657.522
Hong Kong,1991,776.981
Hungary,1991,694.407
Iceland,1991,778.361
India,1991,590.547
Indonesia,1991,635.371
Iran,1991,664.589
Iraq,1991,62.519
Ireland,1991,75.031
Isle of Man,1991,721.506
Israel,1991,770.002
Italy,1991,769.891
Jamaica,1991,721.862
Japan,1991,792.519
Jersey,1991,768.223
Jordan,1991,700.929
Kazakhstan,1991,644.876
Kenya,1991,580.052
Kiribati,1991,614.222
Kosovo,1991,712.459
Kuwait,1991,742.164
Kyrgyzstan,1991,642.799
Land-locked Developing Countries (LLDC),1991,515.154
Laos,1991,544.604
Latin America and the Caribbean (UN),1991,680.346
Latvia,1991,691.698
Least developed countries,1991,497.829
Lebanon,1991,711.761
Lesotho,1991,591.931
Less developed regions,1991,617.999
"Less developed regions, excluding China",1991,597.154
"Less developed regions, excluding least developed countries",1991,640.083
Liberia,1991,42.795
Libya,1991,698.204
Liechtenstein,1991,765.068
Lithuania,1991,705.662
Low-income countries,1991,484.441
Lower-middle-income countries,1991,59.345
Luxembourg,1991,758.332
Macao,1991,779.038
Madagascar,1991,523.566
Malawi,1991,433.124
Malaysia,1991,714.417
Maldives,1991,643.044
Mali,1991,472.164
Malta,1991,754.583
Marshall Islands,1991,622.817
Martinique,1991,751.814
Mauritania,1991,599.361
